"","cell_id","step_ix","simulation_i","sim_time"
"621","cell621",1342,17,130.083333333331
"622","cell622",7359,90,440.083333333303
"623","cell623",3302,41,50.0000000000003
"624","cell624",6826,84,30.0833333333332
"625","cell625",1502,19,90.0833333333326
"626","cell626",3387,42,80.0833333333331
"627","cell627",3714,46,70.0000000000004
"628","cell628",6264,77,150.083333333333
"629","cell629",4142,51,250.000000000011
"630","cell630",4945,61,80.0833333333331
"631","cell631",6785,83,440.083333333303
"632","cell632",2319,29,60.0000000000006
"633","cell633",17,1,0
"634","cell634",6013,74,100.083333333332
"635","cell635",8084,99,310.083333333333
"636","cell636",5597,69,40
"637","cell637",1455,18,440.083333333303
"638","cell638",542,7,330.083333333328
"639","cell639",3808,47,190.000000000004
"640","cell640",1680,21,230.000000000009
"641","cell641",1175,15,100.083333333332
"642","cell642",5517,68,60.0000000000006
"643","cell643",7822,96,150.083333333333
"644","cell644",4697,58,60.0000000000006
"645","cell645",1502,19,90.0833333333326
"646","cell646",2742,34,190.000000000004
"647","cell647",5761,71,40
"648","cell648",4469,55,240.00000000001
"649","cell649",3020,37,510.083333333287
"650","cell650",1423,18,120.083333333331
"651","cell651",8089,99,360.083333333321
"652","cell652",6336,78,50.0000000000003
"653","cell653",6013,74,100.083333333332
"654","cell654",5288,65,230.000000000009
"655","cell655",2274,28,430.083333333305
"656","cell656",1342,17,130.083333333331
"657","cell657",5868,72,290.000000000004
"658","cell658",6013,74,100.083333333332
"659","cell659",4468,55,230.000000000009
"660","cell660",7912,97,230.000000000009
"661","cell661",929,12,100.083333333332
"662","cell662",6334,78,30.0833333333332
"663","cell663",2652,33,110.083333333331
"664","cell664",4365,54,20.0833333333333
"665","cell665",5765,71,80.0833333333331
"666","cell666",3799,47,100.083333333332
"667","cell667",3986,49,330.083333333328
"668","cell668",7679,94,360.083333333321
"669","cell669",2149,27,0
"670","cell670",6344,78,130.083333333331
"671","cell671",1423,18,120.083333333331
"672","cell672",4403,54,400.083333333312
"673","cell673",1342,17,130.083333333331
"674","cell674",6033,74,300.000000000002
"675","cell675",40,1,230.000000000009
"676","cell676",1342,17,130.083333333331
"677","cell677",1573,20,0
"678","cell678",4043,50,80.0833333333331
"679","cell679",3541,44,0
"680","cell680",7439,91,420.083333333308
"681","cell681",6013,74,100.083333333332
"682","cell682",1685,21,280.000000000006
"683","cell683",4072,50,370.083333333319
"684","cell684",4532,56,50.0000000000003
"685","cell685",2087,26,200.000000000005
"686","cell686",5017,62,0
"687","cell687",6116,75,310.083333333333
"688","cell688",6013,74,100.083333333332
"689","cell689",101,2,20.0833333333333
"690","cell690",4627,57,180.000000000003
"691","cell691",2497,31,200.000000000005
"692","cell692",4559,56,320.08333333333
"693","cell693",6752,83,110.083333333331
"694","cell694",2349,29,360.083333333321
"695","cell695",5187,64,40
"696","cell696",1342,17,130.083333333331
"697","cell697",1342,17,130.083333333331
"698","cell698",6741,83,0
"699","cell699",7441,91,440.083333333303
"700","cell700",2487,31,100.083333333332
"701","cell701",5767,71,100.083333333332
"702","cell702",1342,17,130.083333333331
"703","cell703",1424,18,130.083333333331
"704","cell704",2573,32,140.083333333332
"705","cell705",2640,33,0
"706","cell706",5791,71,340.083333333326
"707","cell707",7410,91,130.083333333331
"708","cell708",1093,14,100.083333333332
"709","cell709",6988,86,10
"710","cell710",6262,77,130.083333333331
"711","cell711",6268,77,190.000000000004
"712","cell712",531,7,220.000000000008
"713","cell713",6013,74,100.083333333332
"714","cell714",4782,59,90.0833333333326
"715","cell715",1342,17,130.083333333331
"716","cell716",5517,68,60.0000000000006
"717","cell717",1342,17,130.083333333331
"718","cell718",4780,59,70.0000000000004
"719","cell719",6678,82,190.000000000004
"720","cell720",7107,87,380.083333333317
"721","cell721",1424,18,130.083333333331
"722","cell722",1423,18,120.083333333331
"723","cell723",7588,93,270.000000000008
"724","cell724",6335,78,40
"725","cell725",2071,26,40
"726","cell726",7892,97,30.0833333333332
"727","cell727",4706,58,150.083333333333
"728","cell728",2722,34,0
"729","cell729",320,4,570.083333333313
"730","cell730",927,12,80.0833333333331
"731","cell731",3889,48,180.000000000003
"732","cell732",3901,48,300.000000000002
"733","cell733",6267,77,180.000000000003
"734","cell734",1286,16,390.083333333314
"735","cell735",1520,19,270.000000000008
"736","cell736",5932,73,110.083333333331
"737","cell737",4962,61,250.000000000011
"738","cell738",5539,68,280.000000000006
"739","cell739",3901,48,300.000000000002
"740","cell740",5279,65,140.083333333332
"741","cell741",2651,33,100.083333333332
"742","cell742",2812,35,70.0000000000004
"743","cell743",4128,51,110.083333333331
"744","cell744",1502,19,90.0833333333326
"745","cell745",6013,74,100.083333333332
"746","cell746",1423,18,120.083333333331
"747","cell747",2255,28,240.00000000001
"748","cell748",3316,41,190.000000000004
"749","cell749",4361,54,0
"750","cell750",1502,19,90.0833333333326
"751","cell751",6013,74,100.083333333332
"752","cell752",1329,17,0
"753","cell753",1364,17,350.083333333324
"754","cell754",5241,64,580.083333333318
"755","cell755",4950,61,130.083333333331
"756","cell756",7169,88,180.000000000003
"757","cell757",7995,98,240.00000000001
"758","cell758",1502,19,90.0833333333326
"759","cell759",6013,74,100.083333333332
"760","cell760",2074,26,70.0000000000004
"761","cell761",682,9,90.0833333333326
"762","cell762",4698,58,70.0000000000004
"763","cell763",4385,54,220.000000000008
"764","cell764",6086,75,10
"765","cell765",2860,35,550.083333333304
"766","cell766",1342,17,130.083333333331
"767","cell767",1423,18,120.083333333331
"768","cell768",2648,33,70.0000000000004
"769","cell769",1424,18,130.083333333331
"770","cell770",7969,98,0
"771","cell771",2996,37,270.000000000008
"772","cell772",105,2,60.0000000000006
"773","cell773",4960,61,230.000000000009
"774","cell774",1342,17,130.083333333331
"775","cell775",1502,19,90.0833333333326
"776","cell776",1793,22,540.083333333299
"777","cell777",3239,40,240.00000000001
"778","cell778",3485,43,240.00000000001
"779","cell779",6829,84,60.0000000000006
"780","cell780",543,7,340.083333333326
"781","cell781",1423,18,120.083333333331
"782","cell782",7245,89,120.083333333331
"783","cell783",1424,18,130.083333333331
"784","cell784",1282,16,350.083333333324
"785","cell785",1342,17,130.083333333331
"786","cell786",15,1,0
"787","cell787",2566,32,70.0000000000004
"788","cell788",2347,29,340.083333333326
"789","cell789",8052,99,0
"790","cell790",6447,79,340.083333333326
"791","cell791",1342,17,130.083333333331
"792","cell792",1668,21,110.083333333331
"793","cell793",1342,17,130.083333333331
"794","cell794",924,12,50.0000000000003
"795","cell795",1022,13,210.000000000006
"796","cell796",1342,17,130.083333333331
"797","cell797",7658,94,150.083333333333
"798","cell798",5384,66,370.083333333319
"799","cell799",7572,93,110.083333333331
"800","cell800",7010,86,230.000000000009
"801","cell801",5276,65,110.083333333331
"802","cell802",1424,18,130.083333333331
"803","cell803",6265,77,160.000000000001
"804","cell804",4945,61,80.0833333333331
"805","cell805",1342,17,130.083333333331
"806","cell806",1424,18,130.083333333331
"807","cell807",6013,74,100.083333333332
"808","cell808",7511,92,320.08333333333
"809","cell809",8019,98,480.083333333294
"810","cell810",1850,23,290.000000000004
"811","cell811",3185,39,520.08333333329
"812","cell812",2482,31,50.0000000000003
"813","cell813",7982,98,110.083333333331
"814","cell814",6829,84,60.0000000000006
"815","cell815",1342,17,130.083333333331
"816","cell816",5929,73,80.0833333333331
"817","cell817",6352,78,210.000000000006
"818","cell818",1342,17,130.083333333331
"819","cell819",3717,46,100.083333333332
"820","cell820",5677,70,20.0833333333333
"821","cell821",2434,30,390.083333333314
"822","cell822",4616,57,70.0000000000004
"823","cell823",1502,19,90.0833333333326
"824","cell824",2677,33,360.083333333321
"825","cell825",7724,95,0
"826","cell826",5773,71,160.000000000001
"827","cell827",6831,84,80.0833333333331
"828","cell828",186,3,50.0000000000003
"829","cell829",5769,71,120.083333333331
"830","cell830",2814,35,90.0833333333326
"831","cell831",2406,30,110.083333333331
"832","cell832",1423,18,120.083333333331
"833","cell833",1355,17,260.000000000011
"834","cell834",6013,74,100.083333333332
"835","cell835",6829,84,60.0000000000006
"836","cell836",7439,91,420.083333333308
"837","cell837",3872,48,10
"838","cell838",1017,13,160.000000000001
"839","cell839",6750,83,90.0833333333326
"840","cell840",6013,74,100.083333333332
"841","cell841",7442,91,450.083333333301
"842","cell842",1342,17,130.083333333331
"843","cell843",944,12,250.000000000011
"844","cell844",1342,17,130.083333333331
"845","cell845",37,1,200.000000000005
"846","cell846",6670,82,110.083333333331
"847","cell847",5876,72,370.083333333319
"848","cell848",1423,18,120.083333333331
"849","cell849",5523,68,120.083333333331
"850","cell850",1914,24,110.083333333331
"851","cell851",1342,17,130.083333333331
"852","cell852",4341,53,600.083333333327
"853","cell853",6013,74,100.083333333332
"854","cell854",6118,75,330.083333333328
"855","cell855",6821,84,0
"856","cell856",8061,99,80.0833333333331
"857","cell857",5621,69,280.000000000006
"858","cell858",6791,83,500.083333333289
"859","cell859",6013,74,100.083333333332
"860","cell860",1088,14,50.0000000000003
"861","cell861",1423,18,120.083333333331
"862","cell862",7754,95,290.000000000004
"863","cell863",2915,36,280.000000000006
"864","cell864",2623,32,640.000000000012
"865","cell865",7484,92,50.0000000000003
"866","cell866",1423,18,120.083333333331
"867","cell867",3407,42,280.000000000006
"868","cell868",1024,13,230.000000000009
"869","cell869",1424,18,130.083333333331
"870","cell870",1092,14,90.0833333333326
"871","cell871",1413,18,20.0833333333333
"872","cell872",6013,74,100.083333333332
"873","cell873",4045,50,100.083333333332
"874","cell874",5945,73,240.00000000001
"875","cell875",1049,13,480.083333333294
"876","cell876",6093,75,80.0833333333331
"877","cell877",6013,74,100.083333333332
"878","cell878",6013,74,100.083333333332
"879","cell879",5518,68,70.0000000000004
"880","cell880",3113,38,620.000000000003
"881","cell881",277,4,140.083333333332
"882","cell882",1423,18,120.083333333331
"883","cell883",6013,74,100.083333333332
"884","cell884",5349,66,20.0833333333333
"885","cell885",6032,74,290.000000000004
"886","cell886",6034,74,310.083333333333
"887","cell887",2334,29,210.000000000006
"888","cell888",433,6,60.0000000000006
"889","cell889",4723,58,320.08333333333
"890","cell890",6272,77,230.000000000009
"891","cell891",7816,96,90.0833333333326
"892","cell892",1342,17,130.083333333331
"893","cell893",4084,50,490.083333333292
"894","cell894",3727,46,200.000000000005
"895","cell895",3145,39,120.083333333331
"896","cell896",1502,19,90.0833333333326
"897","cell897",1342,17,130.083333333331
"898","cell898",4691,58,0
"899","cell899",1510,19,170.000000000002
"900","cell900",5239,64,560.083333333309
"901","cell901",4968,61,310.083333333333
"902","cell902",1342,17,130.083333333331
"903","cell903",3011,37,420.083333333308
"904","cell904",8061,99,80.0833333333331
"905","cell905",5696,70,210.000000000006
"906","cell906",1342,17,130.083333333331
"907","cell907",4696,58,50.0000000000003
"908","cell908",461,6,340.083333333326
"909","cell909",6013,74,100.083333333332
"910","cell910",3312,41,150.083333333333
"911","cell911",3628,45,30.0833333333332
"912","cell912",1502,19,90.0833333333326
"913","cell913",1579,20,40
"914","cell914",1423,18,120.083333333331
"915","cell915",1012,13,110.083333333331
"916","cell916",6500,80,50.0000000000003
"917","cell917",267,4,40
"918","cell918",1502,19,90.0833333333326
"919","cell919",2979,37,100.083333333332
"920","cell920",1181,15,160.000000000001
"921","cell921",1342,17,130.083333333331
"922","cell922",5433,67,40
"923","cell923",7831,96,240.00000000001
"924","cell924",6006,74,30.0833333333332
"925","cell925",5289,65,240.00000000001
"926","cell926",3970,49,170.000000000002
"927","cell927",7524,92,450.083333333301
"928","cell928",1502,19,90.0833333333326
"929","cell929",5768,71,110.083333333331
"930","cell930",2834,35,290.000000000004
"931","cell931",1456,18,450.083333333301
"932","cell932",6013,74,100.083333333332
"933","cell933",1342,17,130.083333333331
"934","cell934",1460,18,490.083333333292
"935","cell935",1342,17,130.083333333331
"936","cell936",1604,20,290.000000000004
"937","cell937",6261,77,120.083333333331
"938","cell938",2504,31,270.000000000008
"939","cell939",2730,34,70.0000000000004
"940","cell940",6101,75,160.000000000001
"941","cell941",1423,18,120.083333333331
"942","cell942",3747,46,400.083333333312
"943","cell943",1991,25,60.0000000000006
"944","cell944",8165,100,300.000000000002
"945","cell945",1342,17,130.083333333331
"946","cell946",3748,46,410.08333333331
"947","cell947",4693,58,20.0833333333333
"948","cell948",6181,76,140.083333333332
"949","cell949",1864,23,430.083333333305
"950","cell950",2651,33,100.083333333332
"951","cell951",4458,55,130.083333333331
"952","cell952",3633,45,80.0833333333331
"953","cell953",3900,48,290.000000000004
"954","cell954",7348,90,330.083333333328
"955","cell955",631,8,400.083333333312
"956","cell956",6395,78,640.000000000012
"957","cell957",6013,74,100.083333333332
"958","cell958",1423,18,120.083333333331
"959","cell959",2903,36,160.000000000001
"960","cell960",1423,18,120.083333333331
"961","cell961",537,7,280.000000000006
"962","cell962",1358,17,290.000000000004
"963","cell963",1502,19,90.0833333333326
"964","cell964",286,4,230.000000000009
"965","cell965",1502,19,90.0833333333326
"966","cell966",6013,74,100.083333333332
"967","cell967",1656,21,0
"968","cell968",3248,40,330.083333333328
"969","cell969",4961,61,240.00000000001
"970","cell970",1020,13,190.000000000004
"971","cell971",1423,18,120.083333333331
"972","cell972",3378,42,0
"973","cell973",6013,74,100.083333333332
"974","cell974",1427,18,160.000000000001
"975","cell975",5838,72,0
"976","cell976",5859,72,200.000000000005
"977","cell977",1502,19,90.0833333333326
"978","cell978",5194,64,110.083333333331
"979","cell979",2899,36,120.083333333331
"980","cell980",1505,19,120.083333333331
"981","cell981",8057,99,40
"982","cell982",1342,17,130.083333333331
"983","cell983",1953,24,500.083333333289
"984","cell984",5699,70,240.00000000001
"985","cell985",1603,20,280.000000000006
"986","cell986",6332,78,10
"987","cell987",1013,13,120.083333333331
"988","cell988",5791,71,340.083333333326
"989","cell989",4280,53,0
"990","cell990",119,2,200.000000000005
"991","cell991",622,8,310.083333333333
"992","cell992",1502,19,90.0833333333326
"993","cell993",7743,95,180.000000000003
"994","cell994",593,8,20.0833333333333
"995","cell995",761,10,60.0000000000006
"996","cell996",3056,38,50.0000000000003
"997","cell997",7011,86,240.00000000001
"998","cell998",1502,19,90.0833333333326
"999","cell999",3816,47,270.000000000008
"1000","cell1000",4340,53,590.083333333322
